m6,m5,m4,m3,m2,m1,n
27.561,27.021,27.828,27.889,28.112,28.102,28.124
27.021,27.828,27.889,28.112,28.102,28.124,28.089
27.828,27.889,28.112,28.102,28.124,28.089,27.793
27.889,28.112,28.102,28.124,28.089,27.793,27.789
28.112,28.102,28.124,28.089,27.793,27.789,27.838
28.102,28.124,28.089,27.793,27.789,27.838,28.238
28.124,28.089,27.793,27.789,27.838,28.238,28.028
28.089,27.793,27.789,27.838,28.238,28.028,28.619
27.793,27.789,27.838,28.238,28.028,28.619,29.449
27.789,27.838,28.238,28.028,28.619,29.449,29.581
27.838,28.238,28.028,28.619,29.449,29.581,30.481
28.238,28.028,28.619,29.449,29.581,30.481,30.646
28.028,28.619,29.449,29.581,30.481,30.646,31.072
28.619,29.449,29.581,30.481,30.646,31.072,30.899
29.449,29.581,30.481,30.646,31.072,30.899,30.861
29.581,30.481,30.646,31.072,30.899,30.861,30.446
30.481,30.646,31.072,30.899,30.861,30.446,31.417
30.646,31.072,30.899,30.861,30.446,31.417,32.411
31.072,30.899,30.861,30.446,31.417,32.411,32.39
30.899,30.861,30.446,31.417,32.411,32.39,32.305
30.861,30.446,31.417,32.411,32.39,32.305,32.653
30.446,31.417,32.411,32.39,32.305,32.653,33.667
31.417,32.411,32.39,32.305,32.653,33.667,33.605
32.411,32.39,32.305,32.653,33.667,33.605,33.537
32.39,32.305,32.653,33.667,33.605,33.537,33.262
32.305,32.653,33.667,33.605,33.537,33.262,34.748
32.653,33.667,33.605,33.537,33.262,34.748,34.622
33.667,33.605,33.537,33.262,34.748,34.622,34.331
33.605,33.537,33.262,34.748,34.622,34.331,34.682
33.537,33.262,34.748,34.622,34.331,34.682,34.552
33.262,34.748,34.622,34.331,34.682,34.552,34.648
34.748,34.622,34.331,34.682,34.552,34.648,34.605
34.622,34.331,34.682,34.552,34.648,34.605,33.953
34.331,34.682,34.552,34.648,34.605,33.953,33.917
34.682,34.552,34.648,34.605,33.953,33.917,33.909
34.552,34.648,34.605,33.953,33.917,33.909,34.666
34.648,34.605,33.953,33.917,33.909,34.666,34.577
34.605,33.953,33.917,33.909,34.666,34.577,34.952
33.953,33.917,33.909,34.666,34.577,34.952,34.669
33.917,33.909,34.666,34.577,34.952,34.669,34.69
33.909,34.666,34.577,34.952,34.669,34.69,35.101
34.666,34.577,34.952,34.669,34.69,35.101,34.572
34.577,34.952,34.669,34.69,35.101,34.572,34.017
34.952,34.669,34.69,35.101,34.572,34.017,33.985
34.669,34.69,35.101,34.572,34.017,33.985,34.109
34.69,35.101,34.572,34.017,33.985,34.109,34.082
35.101,34.572,34.017,33.985,34.109,34.082,33.669
34.572,34.017,33.985,34.109,34.082,33.669,32.743
34.017,33.985,34.109,34.082,33.669,32.743,32.959
33.985,34.109,34.082,33.669,32.743,32.959,33.232
34.109,34.082,33.669,32.743,32.959,33.232,32.868
34.082,33.669,32.743,32.959,33.232,32.868,32.097
33.669,32.743,32.959,33.232,32.868,32.097,32.252
32.743,32.959,33.232,32.868,32.097,32.252,31.793
32.959,33.232,32.868,32.097,32.252,31.793,31.62
33.232,32.868,32.097,32.252,31.793,31.62,32.078
32.868,32.097,32.252,31.793,31.62,32.078,32.036
